generic_name	cns_drug	smiles
Allylestrenol	FALSE	[H][C@@]12CC[C@@](O)(CC=C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]
Almitrine	FALSE	FC1=CC=C(C=C1)C(N1CCN(CC1)C1=NC(NCC=C)=NC(NCC=C)=N1)C1=CC=C(F)C=C1
Almotriptan	TRUE	CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2
Alogliptin	FALSE	CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O
Alosetron	FALSE	CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)NC=N1)CC2
Alpha-1-proteinase inhibitor	FALSE	
Alpha-Linolenic Acid	FALSE	CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
Alprazolam	TRUE	CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
Alprenolol	FALSE	CC(C)NCC(O)COC1=CC=CC=C1CC=C
Alprostadil	FALSE	CCCCC[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
Alseroxylon	FALSE	
Alteplase	FALSE	
Altretamine	FALSE	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
Aluminium	FALSE	[Al]
Aluminum hydroxide	FALSE	[OH-].[OH-].[OH-].[Al+3]
Alverine	FALSE	CCN(CCCC1=CC=CC=C1)CCCC1=CC=CC=C1
Alvimopan	FALSE	C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1
Amantadine	TRUE	NC12CC3CC(CC(C3)C1)C2
Ambenonium	TRUE	CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl
Amcinonide	FALSE	[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC1(CCCC1)O2)C(=O)COC(C)=O
Amdinocillin	FALSE	[H]C(=N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])N1CCCCCC1
Amifostine	FALSE	NCCCNCCSP(O)(O)=O
Amikacin	FALSE	NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
Amiloride	FALSE	NC(N)=NC(=O)C1=C(N)N=C(N)C(Cl)=N1
Aminocaproic Acid	FALSE	NCCCCCC(O)=O
Aminoglutethimide	FALSE	CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
Aminohippurate	FALSE	NC1=CC=C(C=C1)C(=O)NCC(O)=O
Aminolevulinic acid	FALSE	NCC(=O)CCC(O)=O
Aminophenazone	FALSE	CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1
Aminophylline	FALSE	NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
Aminosalicylic Acid	FALSE	NC1=CC(O)=C(C=C1)C(O)=O
Amiodarone	FALSE	CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
Amisulpride	FALSE	CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC
Amitriptyline	TRUE	CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
Amlexanox	FALSE	CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1
Amlodipine	FALSE	CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
Ammonium lactate	FALSE	[NH4+].CC(O)C([O-])=O
Amobarbital	FALSE	CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
Amodiaquine	FALSE	CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
Amoxapine	TRUE	ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
Amoxicillin	FALSE	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
Amphetamine	TRUE	CC(N)CC1=CC=CC=C1
Amphotericin B	FALSE	[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2
Ampicillin	FALSE	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
Amprenavir	FALSE	CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1
Amrinone	FALSE	NC1=CC(=CNC1=O)C1=CC=NC=C1
Amsacrine	FALSE	COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
Amyl Nitrite	FALSE	CCCCCON=O
Anagrelide	FALSE	ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
Anakinra	FALSE	
Anastrozole	FALSE	CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
Anidulafungin	FALSE	[H][C@@]12C[C@@H](O)CN1C(=O)[C@@]([H])(NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@]1([H])[C@@H](O)[C@@H](C)CN1C(=O)[C@@]([H])(NC(=O)[C@@]([H])(NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O
Anileridine	FALSE	CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1
Anisindione	FALSE	COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O
Anisotropine Methylbromide	FALSE	[Br-].CCCC(CCC)C(=O)O[C@H]1CC2CCC(C1)[N+]2(C)C
Anistreplase	FALSE	
Antazoline	FALSE	C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1
Antihemophilic Factor	FALSE	
Antipyrine	FALSE	CN1N(C(=O)C=C1C)C1=CC=CC=C1
Antithymocyte globulin	FALSE	
Antrafenine	FALSE	FC(F)(F)C1=CC(=CC=C1)N1CCN(CCOC(=O)C2=CC=CC=C2NC2=C3C=CC(=CC3=NC=C2)C(F)(F)F)CC1
Apixaban	FALSE	COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O
Apomorphine	TRUE	[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23
Apraclonidine	FALSE	NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1
Aprepitant	TRUE	C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
Aprindine	FALSE	CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C1=CC=CC=C1
Aprobarbital	FALSE	CC(C)C1(CC=C)C(=O)NC(=O)NC1=O
Aprotinin	FALSE	
Arbekacin	FALSE	NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
Arbutamine	FALSE	O[C@@H](CNCCCCC1=CC=C(O)C=C1)C1=CC(O)=C(O)C=C1
Arcitumomab	FALSE	
Ardeparin	FALSE	CC(=O)NC1C(O)OC(COS(O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4OS(O)(=O)=O)C(O)=O)C(OS(O)(=O)=O)C3NS(O)(=O)=O)C(O)C2OS(O)(=O)=O)C(O)=O)C1O
Arformoterol	FALSE	COC1=CC=C(C[C@@H](C)NC[C@H](O)C2=CC(NC=O)=C(O)C=C2)C=C1
Argatroban	FALSE	C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C1=CC=CC2=C1NC[C@H](C)C2
Aripiprazole	TRUE	ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
Arsenic trioxide	FALSE	O1[As]2O[As]1O2
Artemether	FALSE	[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4
Asenapine	TRUE	OC(=O)\C=C/C(O)=O.CN1CC2C(C1)C1=C(OC3=CC=CC=C23)C=CC(Cl)=C1
Asparaginase	FALSE	
Asparaginase Erwinia chrysanthemi	FALSE	
Aspartame	FALSE	COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
Astemizole	FALSE	COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1
Atazanavir	FALSE	COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=CC=CC=N1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
Atenolol	FALSE	CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
Atomoxetine	TRUE	CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1
Atorvastatin	FALSE	CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
Atovaquone	FALSE	OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O
Atracurium	FALSE	COC1=C(OC)C=C(CC2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCC3=CC(OC)=C(OC)C=C3C2CC2=CC(OC)=C(OC)C=C2)C=C1
Atropine	FALSE	CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1
Attapulgite	FALSE	
Auranofin	FALSE	CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O
Avanafil	FALSE	COC1=C(Cl)C=C(CNC2=C(C=NC(=N2)N2CCC[C@H]2CO)C(=O)NCC2=NC=CC=N2)C=C1
Axitinib	FALSE	
Azacitidine	FALSE	NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Azatadine	FALSE	CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2
Azathioprine	FALSE	CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O
Azelaic Acid	FALSE	OC(=O)CCCCCCCC(O)=O
Azelastine	FALSE	CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O
Azidocillin	FALSE	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N=[N+]=[N-])C1=CC=CC=C1)C(O)=O
Azilsartan medoxomil	FALSE	CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NOC(=O)N1)C(=CC=C2)C(=O)OCC1=C(C)OC(=O)O1
Azithromycin	FALSE	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Azlocillin	FALSE	[H][C@](NC(=O)N1CCNC1=O)(C(=O)N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])C1=CC=CC=C1
Aztreonam	FALSE	C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(=O)O)\C2=CSC([NH3+])=N2)C(=O)N1S([O-])(=O)=O
Bacampicillin	FALSE	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(=O)OC(C)OC(=O)OCC
Bacitracin	FALSE	CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H]1CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(O)=O)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC1=O)[C@@H](C)CC
Baclofen	TRUE	NCC(CC(O)=O)C1=CC=C(Cl)C=C1
Balsalazide	FALSE	OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O
Bambuterol	FALSE	CN(C)C(=O)OC1=CC(=CC(OC(=O)N(C)C)=C1)C(O)CNC(C)(C)C
Basiliximab	FALSE	
Becaplermin	FALSE	
Beclometasone dipropionate	FALSE	[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Bedaquiline	FALSE	COC1=NC2=C(C=C(Br)C=C2)C=C1[C@@H](C1=CC=CC=C1)[C@@](O)(CCN(C)C)C1=CC=CC2=C1C=CC=C2
Belatacept	FALSE	
Belimumab	FALSE	
Benazepril	FALSE	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CCC2=CC=CC=C2N(CC(O)=O)C1=O
Bendroflumethiazide	FALSE	NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
Bentiromide	FALSE	OC(=O)C1=CC=C(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)C2=CC=CC=C2)C=C1
Bentoquatam	FALSE	O.O=[Si]=O.O=[Al]O[Al]=O
Benzatropine	TRUE	[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
Benzocaine	FALSE	CCOC(=O)C1=CC=C(N)C=C1
Benzonatate	FALSE	CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC
Benzphetamine	FALSE	C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1
Benzquinamide	FALSE	CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O
Benzthiazide	FALSE	NS(=O)(=O)C1=C(Cl)C=C2NC(CSCC3=CC=CC=C3)=NS(=O)(=O)C2=C1
Benzyl alcohol	FALSE	OCC1=CC=CC=C1
Benzyl Benzoate	FALSE	O=C(OCC1=CC=CC=C1)C1=CC=CC=C1
Benzylpenicilloyl Polylysine	FALSE	
Bepotastine	FALSE	OC(=O)CCCN1CCC(CC1)OC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
Bepridil	FALSE	CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1
Besifloxacin	FALSE	N[C@@H]1CCCCN(C1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1Cl)C(O)=O
Betahistine	FALSE	CNCCC1=CC=CC=N1
Betamethasone	FALSE	[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Betaxolol	FALSE	CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
Betazole	FALSE	NCCC1=CC=NN1
Bethanechol	FALSE	CC(C[N+](C)(C)C)OC(N)=O
Bethanidine	FALSE	CN\C(NCC1=CC=CC=C1)=N/C
Bevacizumab	FALSE	
Bevantolol	FALSE	COC1=C(OC)C=C(CCNCC(O)COC2=CC=CC(C)=C2)C=C1
Bexarotene	FALSE	CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C
Bezafibrate	FALSE	CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O
Bicalutamide	FALSE	CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F
Bifonazole	FALSE	C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1
Bimatoprost	FALSE	CCNC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)CCC1=CC=CC=C1
Biotin	FALSE	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
Biperiden	FALSE	OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1
Bismuth Subsalicylate	FALSE	O[Bi]1OC(=O)C2=CC=CC=C2O1
Bisoprolol	FALSE	CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1
Bivalirudin	FALSE	
Bleomycin	FALSE	C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C
Boceprevir	FALSE	[H][C@]12CN([C@H](C(=O)NC(CC3CCC3)C(=O)C(N)=O)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C
Bopindolol	FALSE	CC1=CC2=C(N1)C=CC=C2OCC(CNC(C)(C)C)OC(=O)C1=CC=CC=C1
Bortezomib	FALSE	CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
Bosentan	FALSE	COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1
Bosutinib	FALSE	COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl
Botulinum Toxin Type A	FALSE	
Botulinum Toxin Type B	FALSE	
BRENTUXIMAB VEDOTIN	FALSE	
Bretylium	FALSE	CC[N+](C)(C)CC1=CC=CC=C1Br
Brimonidine	FALSE	BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12
Brinzolamide	FALSE	CCN[C@H]1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
Bromazepam	FALSE	BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1
Bromfenac	FALSE	NC1=C(CC(O)=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1
Bromocriptine	TRUE	[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C
Bromodiphenhydramine	FALSE	CN(C)CCOC(C1=CC=CC=C1)C1=CC=C(Br)C=C1
Brompheniramine	FALSE	CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1
Buclizine	FALSE	CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)C=C1
Budesonide	FALSE	[H][C@@]12C[C@H]3OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Bumetanide	FALSE	CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O
Bupivacaine	FALSE	CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
Bupranolol	FALSE	CC1=CC(OCC(O)CNC(C)(C)C)=C(Cl)C=C1
Buprenorphine	TRUE	CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4
Bupropion	TRUE	CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
Buserelin	FALSE	
Buspirone	TRUE	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1
Busulfan	FALSE	CS(=O)(=O)OCCCCOS(C)(=O)=O
Butabarbital	FALSE	CCC(C)C1(CC)C(=O)NC(=O)NC1=O
Butalbital	TRUE	CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
Butenafine	FALSE	CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=CC=CC=C12
Butethal	FALSE	CCCCC1(CC)C(=O)NC(=O)NC1=O
Butoconazole	FALSE	ClC1=CC=C(CCC(CN2C=CN=C2)SC2=C(Cl)C=CC=C2Cl)C=C1
Butorphanol	TRUE	[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1
